编号,图片文件,文字文件,管段编号,管径,缺陷名称,等级,距离,时钟表示,修复建议,原始图片rid,原始图片路径,Word块序号,备注,原始文字
099,images/099.png,texts/099.txt,Y30-Y31,DN400,AJ,4,7.34,-,业主酌情处理,rId125,word/media/image111.png,721,,管段编号Y30-Y31管径DN400缺陷名称AJ等级4距离7.34时钟表示-支管暗接（4级）：支管未接入到主管。（业主酌情处理）
100,images/100.png,texts/100.txt,Y30-Y31,DN400,AJ,4,8.04,-,业主酌情处理,rId126,word/media/image112.png,726,,管段编号Y30-Y31管径DN400缺陷名称AJ等级4距离8.04时钟表示-支管暗接（4级）：支管未接入到主管。（业主酌情处理）
101,images/101.png,texts/101.txt,Y30-Y31,DN400,ZA,3,8.04-15.69,-,疏通处理,rId127,word/media/image113.png,730,,管段编号Y30-Y31管径DN400缺陷名称ZA等级3距离8.04-15.69时钟表示-障碍物（3级）：断面损失为15%~30%（疏通处理）
102,images/102.png,texts/102.txt,Y30-Y31,DN400,PL,2,13.25,-,局部现场固化法修复,rId128,word/media/image114.png,735,,管段编号Y30-Y31管径DN400缺陷名称PL等级2距离13.25时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（局部现场固化法修复）
103,images/103.png,texts/103.txt,Y30-Y31,DN400,PL,2,17.23,-,局部现场固化法修复,rId129,word/media/image115.png,740,,管段编号Y30-Y31管径DN400缺陷名称PL等级2距离17.23时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（局部现场固化法修复）
104,images/104.png,texts/104.txt,Y30-Y31,DN400,ZA,2,井室,-,井室清理,rId130,word/media/image116.png,744,,管段编号Y30-Y31管径DN400缺陷名称ZA等级2距离井室时钟表示-障碍物（2级）：断面损失为5%~15%（井室清理）
105,images/105.png,texts/105.txt,Y30-Y36A,DN300,CW,2,14.06,-,局部现场固化法修复,rId131,word/media/image117.png,749,,管段编号Y30-Y36A管径DN300缺陷名称CW等级2距离14.06时钟表示-错位（2级）：中度错位：错位距离在管壁厚度1／2及1倍之间。（局部现场固化法修复）
106,images/106.png,texts/106.txt,Y30-Y36A,DN300,PL,2,30.94,-,局部现场固化法修复,rId132,word/media/image118.png,755,,管段编号Y30-Y36A管径DN300缺陷名称PL等级2距离30.94时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（局部现场固化法修复）
107,images/107.png,texts/107.txt,Y32-Y203,DN300,CJ,2,4.82-9.17,-,疏通处理,rId133,word/media/image119.png,759,,管段编号Y32-Y203管径DN300缺陷名称CJ等级2距离4.82-9.17时钟表示-沉积（2级）：沉积物厚度在管径的5%~20%之间。（疏通处理）
108,images/108.png,texts/108.txt,Y32-Y33,DN300,CJ,2,整段,-,疏通处理,rId134,word/media/image120.png,764,,管段编号Y32-Y33管径DN300缺陷名称CJ等级2距离整段时钟表示-沉积（2级）：沉积物厚度在管径的5%~20%之间。（疏通处理）
109,images/109.png,texts/109.txt,Y32-Y33,DN300,BX,2,20.65,-,局部现场固化法修复,rId135,word/media/image121.png,771,,管段编号Y32-Y33管径DN300缺陷名称BX等级2距离20.65时钟表示-变形（2级）变形为管道直径的5%-15%。（局部现场固化法修复）
110,images/110.png,texts/110.txt,Y32-Y203,DN300,ZA,3,整段,-,疏通处理,rId136,word/media/image122.png,775,,管段编号Y32-Y203管径DN300缺陷名称ZA等级3距离整段时钟表示-障碍物（3级）：断面损失为15%~30%（疏通处理）
111,images/111.png,texts/111.txt,Y32-Y203,DN300,CW,3,9.27,-,局部开挖处理,rId137,word/media/image123.png,779,,管段编号Y32-Y203管径DN300缺陷名称CW等级3距离9.27时钟表示-错位（3级）：重度错位：错位距离为管壁厚度1至2倍。（局部开挖处理）
112,images/112.png,texts/112.txt,Y32-Y34,DN300,CJ,2,整段,-,疏通处理,rId138,word/media/image124.png,785,,管段编号Y32-Y34管径DN300缺陷名称CJ等级2距离整段时钟表示-沉积（2级）：沉积物厚度在管径的5%~20%之间。（疏通处理）
113,images/113.png,texts/113.txt,Y32-Y204,DN300,TG,4,0,-,业主酌情处理,rId139,word/media/image125.png,789,,管段编号Y32-Y204管径DN300缺陷名称TG等级4距离0时钟表示-套管（4级）：管道内管径材质不同。（业主酌情处理）
114,images/114.png,texts/114.txt,Y36A-Y36,DN300,ZA,3,17.33,-,疏通处理,rId140,word/media/image126.png,794,,管段编号Y36A-Y36管径DN300缺陷名称ZA等级3距离17.33时钟表示-障碍物（3级）：断面损失为15%~30%（疏通处理）
115,images/115.png,texts/115.txt,Y36A-Y36,DN300,PL,3,18.36,-,局部现场固化法修复,rId141,word/media/image127.png,800,,管段编号Y36A-Y36管径DN300缺陷名称PL等级3距离18.36时钟表示-破裂（3级）：破碎：管壁破裂或脱落处所剩碎片的环向覆盖范围小于弧长60º。（局部现场固化法修复）
116,images/116.png,texts/116.txt,Y36A-Y36,DN300,ZA,2,1,-,疏通处理,rId142,word/media/image128.png,804,,管段编号Y36A-Y36管径DN300缺陷名称ZA等级2距离1时钟表示-障碍物（2级）：断面损失为5%~15%（疏通处理）
117,images/117.png,texts/117.txt,Y37-Y37A,DN500,PL,3,0,-,局部现场固化法修复,rId143,word/media/image129.png,809,,管段编号Y37-Y37A管径DN500缺陷名称PL等级3距离0时钟表示-破裂（3级）：破碎：管壁破裂或脱落处所剩碎片的环向覆盖范围小于弧长60º。（局部现场固化法修复）
118,images/118.png,texts/118.txt,Y37-Y37A,DN500,ZA,2,0.5,-,疏通处理,rId144,word/media/image130.png,815,,管段编号Y37-Y37A管径DN500缺陷名称ZA等级2距离0.5时钟表示-障碍物:（2级）：断面损失为5%~15%（疏通处理）
119,images/119.png,texts/119.txt,Y37-Y37A,DN500,BX,3,9.98,-,局部开挖处理,rId145,word/media/image131.png,819,,管段编号Y37-Y37A管径DN500缺陷名称BX等级3距离9.98时钟表示-变形（3级）：变形为管道直径的15~25%（局部开挖处理）
120,images/120.png,texts/120.txt,Y38-Y37,DN500,PL,3,1-1.75,-,特殊疏通处理/CIPP紫外线光固化整体修复,rId146,word/media/image132.png,823,,管段编号Y38-Y37管径DN500缺陷名称PL等级3距离1-1.75时钟表示-破裂（3级）：破碎：管壁破裂或脱落处所剩碎片的环向覆盖范围小于弧长60º。（特殊疏通处理/CIPP紫外线光固化整体修复）
121,images/121.png,texts/121.txt,Y38-Y37,DN500,PL,2,5.40,-,特殊疏通处理/CIPP紫外线光固化整体修复,rId147,word/media/image133.png,831,,管段编号Y38-Y37管径DN500缺陷名称PL等级2距离5.40时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（特殊疏通处理/CIPP紫外线光固化整体修复）
122,images/122.png,texts/122.txt,Y38-Y37,DN500,TJ,3,9.88,-,特殊疏通处理/CIPP紫外线光固化整体修复,rId148,word/media/image134.png,836,,管段编号Y38-Y37管径DN500缺陷名称TJ等级3距离9.88时钟表示-脱节（3级）：重度脱节：脱节距离处于管壁厚度1~2倍之间。（特殊疏通处理/CIPP紫外线光固化整体修复）
123,images/123.png,texts/123.txt,Y38-Y37,DN500,PL,2,10.54,-,特殊疏通处理/CIPP紫外线光固化整体修复,rId149,word/media/image135.png,840,,管段编号Y38-Y37管径DN500缺陷名称PL等级2距离10.54时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（特殊疏通处理/CIPP紫外线光固化整体修复）
124,images/124.png,texts/124.txt,Y38-Y37,DN500,ZA,3,14.69,-,特殊疏通处理/CIPP紫外线光固化整体修复,rId150,word/media/image136.png,846,,管段编号Y38-Y37管径DN500缺陷名称ZA等级3距离14.69时钟表示-障碍物（3级）：断面损失为15%~30%（特殊疏通处理/CIPP紫外线光固化整体修复）
125,images/125.png,texts/125.txt,Y39-Y38,DN500,CJ,2,0-3.39,-,疏通处理/CIPP紫外线光固化整体修复,rId151,word/media/image137.png,850,,管段编号Y39-Y38管径DN500缺陷名称CJ等级2距离0-3.39时钟表示-沉积（2级）：沉积物厚度在管径的5%~20%之间。（疏通处理/CIPP紫外线光固化整体修复）
126,images/126.png,texts/126.txt,Y39-Y38,DN500,TJ,3,6.48,-,疏通处理/CIPP紫外线光固化整体修复,rId152,word/media/image138.png,855,,管段编号Y39-Y38管径DN500缺陷名称TJ等级3距离6.48时钟表示-脱节（3级）：重度脱节：脱节距离处于管壁厚度1~2倍之间。（疏通处理/CIPP紫外线光固化整体修复）
127,images/127.png,texts/127.txt,Y39-Y38,DN500,PL,2,7.01,-,疏通处理/CIPP紫外线光固化整体修复,rId153,word/media/image139.png,862,,管段编号Y39-Y38管径DN500缺陷名称PL等级2距离7.01时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（疏通处理/CIPP紫外线光固化整体修复）
128,images/128.png,texts/128.txt,Y39-Y38,DN500,BX,2,10.92,-,疏通处理/CIPP紫外线光固化整体修复,rId154,word/media/image140.png,866,,管段编号Y39-Y38管径DN500缺陷名称BX等级2距离10.92时钟表示-变形（2级）：变形为管道直径的5%-15%。（疏通处理/CIPP紫外线光固化整体修复）
129,images/129.png,texts/129.txt,Y39-Y40,DN500,PL,2,15.57,-,局部现场固化法修复,rId155,word/media/image141.png,870,,管段编号Y39-Y40管径DN500缺陷名称PL等级2距离15.57时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（局部现场固化法修复）
130,images/130.png,texts/130.txt,Y40-Y41,DN500,PL,3,5.02,-,局部现场固化法修复,rId156,word/media/image142.png,877,,管段编号Y40-Y41管径DN500缺陷名称PL等级3距离5.02时钟表示-破裂（3级）：破碎：管壁破裂或脱落处所剩碎片的环向覆盖范围小于弧长60º。（局部现场固化法修复）
131,images/131.png,texts/131.txt,Y40-Y41,DN500,ZA,3,井室,-,井室清理,rId157,word/media/image143.png,880,,管段编号Y40-Y41管径DN500缺陷名称ZA等级3距离井室时钟表示-障碍物（3级）：断面损失为15%~30%（井室清理）
132,images/132.png,texts/132.txt,Y42-Y41,DN500,CJ,2,2.08-5.42,-,疏通处理,rId158,word/media/image144.png,885,,管段编号Y42-Y41管径DN500缺陷名称CJ等级2距离2.08-5.42时钟表示-沉积（2级）：沉积物厚度在管径的5%~20%之间。（疏通处理）
133,images/133.png,texts/133.txt,Y44-Y43,DN500,ZA,2,0-4.47,-,特殊疏通处理,rId159,word/media/image145.png,889,,管段编号Y44-Y43管径DN500缺陷名称ZA等级2距离0-4.47时钟表示-障碍物:（2级）：断面损失为5%~15%（特殊疏通处理）
134,images/134.png,texts/134.txt,Y44-Y227,DN200,PL,4,5.6,-,局部开挖处理,rId160,word/media/image146.png,894,,管段编号Y44-Y227管径DN200缺陷名称PL等级4距离5.6时钟表示-破裂（4级）：坍塌：管道材料裂痕、裂口或破碎处边缘环向覆盖范围大于弧长60º。（局部开挖处理）
135,images/135.png,texts/135.txt,Y46-Y45,DN300,ZA,3,12.8-19.91,-,特殊疏通处理,rId161,word/media/image147.png,899,,管段编号Y46-Y45管径DN300缺陷名称ZA等级3距离12.8-19.91时钟表示-障碍物:（2级）：断面损失为5%~15%（特殊疏通处理）
136,images/136.png,texts/136.txt,Y46-Y45,DN300,ZA,3,27.66,-,特殊疏通处理,rId162,word/media/image148.png,906,,管段编号Y46-Y45管径DN300缺陷名称ZA等级3距离27.66时钟表示-障碍物（3级）：断面损失为15%~30%（特殊疏通处理）
137,images/137.png,texts/137.txt,Y46-Y46A,DN200,BX,4,1.3,-,开挖处理,rId163,word/media/image149.png,911,,管段编号Y46-Y46A管径DN200缺陷名称BX等级4距离1.3时钟表示-变形（4级）：变形大于管道直径的25％（开挖处理）
138,images/138.png,texts/138.txt,Y48A-Y48,DN300,BX,3,7.86,-,特殊疏通处理/CIPP紫外线光固化整体修复,rId164,word/media/image150.png,916,,管段编号Y48A-Y48管径DN300缺陷名称BX等级3距离7.86时钟表示-变形（3级）：变形为管道直径的15~25%（特殊疏通处理/CIPP紫外线光固化整体修复）
139,images/139.png,texts/139.txt,Y48A-Y48,DN300,PL,2,8.36,-,特殊疏通处理/CIPP紫外线光固化整体修复,rId165,word/media/image151.png,921,,管段编号Y48A-Y48管径DN300缺陷名称PL等级2距离8.36时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（特殊疏通处理/CIPP紫外线光固化整体修复）
140,images/140.png,texts/140.txt,Y48A-Y48,DN300,BX,2,14.86,-,特殊疏通处理/CIPP紫外线光固化整体修复,rId166,word/media/image152.png,925,,管段编号Y48A-Y48管径DN300缺陷名称BX等级2距离14.86时钟表示-变形（2级）：变形为管道直径的5%-15%。（特殊疏通处理/CIPP紫外线光固化整体修复）
141,images/141.png,texts/141.txt,Y48A-Y48,DN300,ZA,3,10.08-16,-,特殊疏通处理/CIPP紫外线光固化整体修复,rId167,word/media/image153.png,930,,管段编号Y48A-Y48管径DN300缺陷名称ZA等级3距离10.08-16时钟表示-障碍物（3级）：断面损失为15%~30%（特殊疏通处理/CIPP紫外线光固化整体修复）
142,images/142.png,texts/142.txt,Y48A-Y48,DN300,BX,3,16.28,-,特殊疏通处理/CIPP紫外线光固化整体修复,rId168,word/media/image154.png,936,,管段编号Y48A-Y48管径DN300缺陷名称BX等级3距离16.28时钟表示-变形（3级）：变形为管道直径的15~25%（特殊疏通处理/CIPP紫外线光固化整体修复）
143,images/143.png,texts/143.txt,Y208-Y207,DN300,BX,2,4.27,-,疏通处理/CIPP紫外线光固化整体修复,rId169,word/media/image155.png,940,,管段编号Y208-Y207管径DN300缺陷名称BX等级2距离4.27时钟表示-变形（2级）：变形为管道直径的5%-15%。（疏通处理/CIPP紫外线光固化整体修复）
144,images/144.png,texts/144.txt,Y208-Y207,DN300,PL,2,6.05,-,疏通处理/CIPP紫外线光固化整体修复,rId170,word/media/image156.png,945,,管段编号Y208-Y207管径DN300缺陷名称PL等级2距离6.05时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（疏通处理/CIPP紫外线光固化整体修复）
145,images/145.png,texts/145.txt,Y208-Y207,DN300,CJ,2,7.38-9.79,-,疏通处理/CIPP紫外线光固化整体修复,rId171,word/media/image157.png,949,,管段编号Y208-Y207管径DN300缺陷名称CJ等级2距离7.38-9.79时钟表示-沉积（2级）：沉积物厚度在管径的5%~20%之间。（疏通处理/CIPP紫外线光固化整体修复）
146,images/146.png,texts/146.txt,Y208-Y207,DN300,BX,2,8.52,-,疏通处理/CIPP紫外线光固化整体修复,rId172,word/media/image158.png,952,,管段编号Y208-Y207管径DN300缺陷名称BX等级2距离8.52时钟表示-变形（2级）：变形为管道直径的5%-15%。（疏通处理/CIPP紫外线光固化整体修复）
147,images/147.png,texts/147.txt,Y208-Y209,DN300,BX,3,13.75,-,局部现场固化法修复,rId173,word/media/image159.png,957,,管段编号Y208-Y209管径DN300缺陷名称BX等级3距离13.75时钟表示-变形（3级）：变形为管道直径的15~25%（局部现场固化法修复）
148,images/148.png,texts/148.txt,Y208-Y209,DN300,ZA,2,井室,-,井室清理,rId174,word/media/image160.png,962,,管段编号Y208-Y209管径DN300缺陷名称ZA等级2距离井室时钟表示-障碍物:（2级）：断面损失为5%~15%（井室清理）
149,images/149.png,texts/149.txt,Y209-Y210,DN300,BX,2,1.94,-,CIPP紫外线光固化整体修复,rId175,word/media/image161.png,965,,管段编号Y209-Y210管径DN300缺陷名称BX等级2距离1.94时钟表示-变形（2级）：变形为管道直径的5%-15%。（CIPP紫外线光固化整体修复）
150,images/150.png,texts/150.txt,Y209-Y210,DN300,PL,3,4.89,-,CIPP紫外线光固化整体修复,rId176,word/media/image162.png,968,,管段编号Y209-Y210管径DN300缺陷名称PL等级3距离4.89时钟表示-破裂（3级）：破碎：管壁破裂或脱落处所剩碎片的环向覆盖范围小于弧长60º。（CIPP紫外线光固化整体修复）
151,images/151.png,texts/151.txt,Y209-Y210,DN300,BX,2,5.13,-,CIPP紫外线光固化整体修复,rId177,word/media/image163.png,974,,管段编号Y209-Y210管径DN300缺陷名称BX等级2距离5.13时钟表示-变形（2级）：变形为管道直径的5%-15%。（CIPP紫外线光固化整体修复）
152,images/152.png,texts/152.txt,Y209-Y210,DN300,BX,3,9.08,-,CIPP紫外线光固化整体修复,rId178,word/media/image164.png,978,,管段编号Y209-Y210管径DN300缺陷名称BX等级3距离9.08时钟表示-变形（3级）：变形为管道直径的15~25%（CIPP紫外线光固化整体修复）
153,images/153.png,texts/153.txt,Y209-Y210,DN300,BX,2,9.75,-,CIPP紫外线光固化整体修复,rId179,word/media/image165.png,981,,管段编号Y209-Y210管径DN300缺陷名称BX等级2距离9.75时钟表示-变形（2级）：变形为管道直径的5%-15%。（CIPP紫外线光固化整体修复）
154,images/154.png,texts/154.txt,Y211-Y210,DN300,BX,2,3.88,-,CIPP紫外线光固化整体修复,rId180,word/media/image166.png,987,,管段编号Y211-Y210管径DN300缺陷名称BX等级2距离3.88时钟表示-变形（2级）：变形为管道直径的5%-15%。（CIPP紫外线光固化整体修复）
155,images/155.png,texts/155.txt,Y211-Y210,DN300,BX,2,10.37,-,CIPP紫外线光固化整体修复,rId181,word/media/image167.png,991,,管段编号Y211-Y210管径DN300缺陷名称BX等级2距离10.37时钟表示-变形（2级）：变形为管道直径的5%-15%。（CIPP紫外线光固化整体修复）
156,images/156.png,texts/156.txt,Y211-Y210,DN300,BX,2,11.3,-,CIPP紫外线光固化整体修复,rId182,word/media/image168.png,998,,管段编号Y211-Y210管径DN300缺陷名称BX等级2距离11.3时钟表示-变形（3级）：变形为管道直径的15~25%（CIPP紫外线光固化整体修复）
157,images/157.png,texts/157.txt,Y211-Y210,DN300,BX,2,13.04,-,CIPP紫外线光固化整体修复,rId183,word/media/image169.png,1001,,管段编号Y211-Y210管径DN300缺陷名称BX等级2距离13.04时钟表示-变形（2级）：变形为管道直径的5%-15%。（CIPP紫外线光固化整体修复）
158,images/158.png,texts/158.txt,Y211-Y212,DN300,CJ,2,1.01-4.73,-,疏通处理/CIPP紫外线光固化整体修复,rId184,word/media/image170.png,1006,,管段编号Y211-Y212管径DN300缺陷名称CJ等级2距离1.01-4.73时钟表示-沉积（2级）：沉积物厚度在管径的5%~20%之间。（疏通处理/CIPP紫外线光固化整体修复）
159,images/159.png,texts/159.txt,Y211-Y212,DN300,PL,2,1.21,-,疏通处理/CIPP紫外线光固化整体修复,rId185,word/media/image171.png,1011,,管段编号Y211-Y212管径DN300缺陷名称PL等级2距离1.21时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（疏通处理/CIPP紫外线光固化整体修复）
160,images/160.png,texts/160.txt,Y211-Y212,DN300,PL,2,3.2,-,疏通处理/CIPP紫外线光固化整体修复,rId186,word/media/image172.png,1018,,管段编号Y211-Y212管径DN300缺陷名称PL等级2距离3.2时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（疏通处理/CIPP紫外线光固化整体修复）
161,images/161.png,texts/161.txt,Y211-Y212,DN300,BX,2,3.89-4.4,-,疏通处理/CIPP紫外线光固化整体修复,rId187,word/media/image173.png,1022,,管段编号Y211-Y212管径DN300缺陷名称BX等级2距离3.89-4.4时钟表示-变形（2级）：变形为管道直径的5%-15%。（疏通处理/CIPP紫外线光固化整体修复）
162,images/162.png,texts/162.txt,Y211-Y212,DN300,BX,2,6.43,-,疏通处理/CIPP紫外线光固化整体修复,rId188,word/media/image174.png,1027,,管段编号Y211-Y212管径DN300缺陷名称BX等级2距离6.43时钟表示-变形（2级）：变形为管道直径的5%-15%。（疏通处理/CIPP紫外线光固化整体修复）
163,images/163.png,texts/163.txt,Y214-Y213,DN200,CJ,2,整段,-,疏通处理,rId189,word/media/image175.png,1032,,管段编号Y214-Y213管径DN200缺陷名称CJ等级2距离整段时钟表示-沉积（2级）：沉积物厚度在管径的5%~20%之间。（疏通处理）
164,images/164.png,texts/164.txt,Y216-Y217,DN200,PL,2,0.1,-,局部现场固化法修复,rId190,word/media/image176.png,1036,,管段编号Y216-Y217管径DN200缺陷名称PL等级2距离0.1时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（局部现场固化法修复）
165,images/165.png,texts/165.txt,Y220-Y221,DN500,ZA,4,井室,-,开挖处理,rId191,word/media/image177.png,1040,,管段编号Y220-Y221管径DN500缺陷名称ZA等级4距离井室时钟表示-障碍物形（4级）：断面损失大于30%（开挖处理）
166,images/166.png,texts/166.txt,Y220-Y222,DN200,SG,2,2,-,切割处理/局部现场固化法修复,rId192,word/media/image178.png,1047,,管段编号Y220-Y222管径DN200缺陷名称SG等级2距离2时钟表示-树根（2级）：过水断面积损失量在5%~15%之间。(切割处理/局部现场固化法修复)
167,images/167.png,texts/167.txt,Y223-Y220,DN300,SG,2,6.27,-,切割处理/CIPP紫外线光固化整体修复,rId193,word/media/image179.png,1052,,管段编号Y223-Y220管径DN300缺陷名称SG等级2距离6.27时钟表示-树根（2级）：过水断面积损失量在5%~15%之间。(切割处理/CIPP紫外线光固化整体修复)
168,images/168.png,texts/168.txt,Y223-Y220,DN300,SG,2,9.68,-,切割处理/CIPP紫外线光固化整体修复,rId194,word/media/image180.png,1057,,管段编号Y223-Y220管径DN300缺陷名称SG等级2距离9.68时钟表示-树根（2级）：过水断面积损失量在5%~15%之间。(切割处理/CIPP紫外线光固化整体修复)
169,images/169.png,texts/169.txt,Y223-Y220,DN300,BX,2,10.16,-,切割处理/CIPP紫外线光固化整体修复,rId195,word/media/image181.png,1062,,管段编号Y223-Y220管径DN300缺陷名称BX等级2距离10.16时钟表示-变形（2级）：变形为管道直径的5%-15%。(切割处理/CIPP紫外线光固化整体修复)
170,images/170.png,texts/170.txt,Y223-Y220,DN300,SG,2,10.61,-,切割处理/CIPP紫外线光固化整体修复,rId196,word/media/image182.png,1067,,管段编号Y223-Y220管径DN300缺陷名称SG等级2距离10.61时钟表示-树根（2级）：过水断面积损失量在5%~15%之间。(切割处理/CIPP紫外线光固化整体修复)
171,images/171.png,texts/171.txt,Y223-Y224,DN300,TJ,2,6.66,-,局部开挖处理/CIPP紫外线光固化整体修复,rId197,word/media/image183.png,1071,,管段编号Y223-Y224管径DN300缺陷名称TJ等级2距离6.66时钟表示-脱节（2级）：中度脱节：脱节距离为管壁厚度1/2~1倍（局部开挖处理/CIPP紫外线光固化整体修复）
172,images/172.png,texts/172.txt,Y223-Y224,DN300,BX,4,7.95,-,局部开挖处理/CIPP紫外线光固化整体修复,rId198,word/media/image184.png,1077,,管段编号Y223-Y224管径DN300缺陷名称BX等级4距离7.95时钟表示-变形（4级）：变形大于管道直径的25％（局部开挖处理/CIPP紫外线光固化整体修复）
173,images/173.png,texts/173.txt,Y224-Y223,DN300,BX,2,1.69,-,局部开挖处理/CIPP紫外线光固化整体修复,rId199,word/media/image185.png,1081,,管段编号Y224-Y223管径DN300缺陷名称BX等级2距离1.69时钟表示-变形（2级）：变形为管道直径的5%-15%。（局部开挖处理/CIPP紫外线光固化整体修复）
174,images/174.png,texts/174.txt,Y224-Y223,DN300,BX,2,2.21,-,局部开挖处理/CIPP紫外线光固化整体修复,rId200,word/media/image186.png,1086,,管段编号Y224-Y223管径DN300缺陷名称BX等级2距离2.21时钟表示-变形（2级）：变形为管道直径的5%-15%。（局部开挖处理/CIPP紫外线光固化整体修复）
175,images/175.png,texts/175.txt,Y224-Y223,DN300,BX,2,2.97,-,局部开挖处理/CIPP紫外线光固化整体修复,rId201,word/media/image187.png,1091,,管段编号Y224-Y223管径DN300缺陷名称BX等级2距离2.97时钟表示-变形（2级）：变形为管道直径的5%-15%。（局部开挖处理/CIPP紫外线光固化整体修复）
176,images/176.png,texts/176.txt,Y224-Y223,DN300,SG,2,5.13,-,局部开挖处理/CIPP紫外线光固化整体修复,rId202,word/media/image188.png,1095,,管段编号Y224-Y223管径DN300缺陷名称SG等级2距离5.13时钟表示-树根（2级）：过水断面积损失量在5%~15%之间。（局部开挖处理/CIPP紫外线光固化整体修复）
177,images/177.png,texts/177.txt,Y224-Y223,DN300,BX,3,8.03,-,局部开挖处理/CIPP紫外线光固化整体修复,rId203,word/media/image189.png,1099,,管段编号Y224-Y223管径DN300缺陷名称BX等级3距离8.03时钟表示-变形（3级）：变形为管道直径的15~25%（局部开挖处理/CIPP紫外线光固化整体修复）
179,images/179.png,texts/179.txt,Y224-Y225,DN300,PL,2,1.0,-,CIPP紫外线光固化整体修复,rId205,word/media/image191.png,1112,,管段编号Y224-Y225管径DN300缺陷名称PL等级2距离1.0时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（CIPP紫外线光固化整体修复）
180,images/180.png,texts/180.txt,Y224-Y225,DN300,PL,2,7.65,-,CIPP紫外线光固化整体修复,rId206,word/media/image192.png,1117,,管段编号Y224-Y225管径DN300缺陷名称PL等级2距离7.65时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（CIPP紫外线光固化整体修复）
181,images/181.png,texts/181.txt,Y224-Y225,DN300,PL,2,8.11,-,CIPP紫外线光固化整体修复,rId207,word/media/image193.png,1121,,管段编号Y224-Y225管径DN300缺陷名称PL等级2距离8.11时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（CIPP紫外线光固化整体修复）
182,images/182.png,texts/182.txt,Y224-Y225,DN300,PL,2,8.11,-,CIPP紫外线光固化整体修复,rId208,word/media/image194.png,1125,,管段编号Y224-Y225管径DN300缺陷名称PL等级2距离8.11时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（CIPP紫外线光固化整体修复）
183,images/183.png,texts/183.txt,Y225-Y226,DN300,PL,4,0.04,-,开挖处理,rId209,word/media/image195.png,1131,,管段编号Y225-Y226管径DN300缺陷名称PL等级4距离0.04时钟表示-破裂（4级）：坍塌：管道材料裂痕、裂口或破碎处边缘环向覆盖范围大于弧长60º。（开挖处理）
184,images/184.png,texts/184.txt,Y226-Y225,DN300,BX,4,0.57,-,开挖处理,rId210,word/media/image196.png,1136,,管段编号Y226-Y225管径DN300缺陷名称BX等级4距离0.57时钟表示-变形（4级）：变形大于管道直径的25％（开挖处理）
185,images/185.png,texts/185.txt,Y227-Y228,DN300,BX,2,4.74,-,局部现场固化法修复,rId211,word/media/image197.png,1140,,管段编号Y227-Y228管径DN300缺陷名称BX等级2距离4.74时钟表示-变形（2级）：变形为管道直径的5%-15%。(局部现场固化法修复)
186,images/186.png,texts/186.txt,Y229-Y228,DN300,CJ,2,1.31-7.71,-,疏通处理,rId212,word/media/image198.png,1145,,管段编号Y229-Y228管径DN300缺陷名称CJ等级2距离1.31-7.71时钟表示-沉积（2级）：沉积物厚度在管径的5%~20%之间。（疏通处理）
187,images/187.png,texts/187.txt,Y229-Y228,DN300,BX,2,4.73,-,局部现场固化法修复,rId213,word/media/image199.png,1151,,管段编号Y229-Y228管径DN300缺陷名称BX等级2距离4.73时钟表示-变形（2级）：变形为管道直径的5%-15%。(局部现场固化法修复)
188,images/188.png,texts/188.txt,Y229-Y228,DN300,BX,2,5.44,-,局部现场固化法修复,rId214,word/media/image200.png,1156,,管段编号Y229-Y228管径DN300缺陷名称BX等级2距离5.44时钟表示-变形（2级）：变形为管道直径的5%-15%。(局部现场固化法修复)
189,images/189.png,texts/189.txt,Y229-Y230,DN300,BX,2,5.44,-,局部现场固化法修复,rId215,word/media/image201.png,1161,,管段编号Y229-Y230管径DN300缺陷名称BX等级2距离5.44时钟表示-变形（2级）：变形为管道直径的5%-15%。(局部现场固化法修复)
